model,year,price,results
opel corsa (FR),2012.0,18000.0,0.0
opel corsa (FR),2012.0,18500.0,0.0
opel corsa (FR),2012.0,19000.0,0.0
opel corsa (FR),2012.0,19500.0,0.0
opel corsa (FR),2013.0,1000.0,0.0
opel corsa (FR),2013.0,1500.0,0.0
opel corsa (FR),2013.0,2000.0,0.0
opel corsa (FR),2013.0,2500.0,0.0
opel corsa (FR),2013.0,3000.0,0.0
opel corsa (FR),2013.0,3500.0,0.0
opel corsa (FR),2013.0,4000.0,0.0
opel corsa (FR),2013.0,4500.0,0.0
opel corsa (FR),2013.0,5000.0,0.0
opel corsa (FR),2013.0,5500.0,2.0
opel corsa (FR),2013.0,6000.0,0.0
opel corsa (FR),2013.0,6500.0,7.0
opel corsa (FR),2013.0,7000.0,9.0
opel corsa (FR),2013.0,7500.0,7.0
opel corsa (FR),2013.0,8000.0,0.0
opel corsa (FR),2013.0,8500.0,4.0
opel corsa (FR),2013.0,9000.0,0.0
opel corsa (FR),2013.0,9500.0,0.0
opel corsa (FR),2013.0,10000.0,1.0
opel corsa (FR),2013.0,10500.0,1.0
opel corsa (FR),2013.0,11000.0,0.0
opel corsa (FR),2013.0,11500.0,0.0
opel corsa (FR),2013.0,12000.0,0.0
opel corsa (FR),2013.0,12500.0,0.0
opel corsa (FR),2013.0,13000.0,0.0
opel corsa (FR),2013.0,13500.0,0.0
opel corsa (FR),2013.0,14000.0,0.0
opel corsa (FR),2013.0,14500.0,0.0
opel corsa (FR),2013.0,15000.0,0.0
opel corsa (FR),2013.0,15500.0,0.0
opel corsa (FR),2013.0,16000.0,0.0
opel corsa (FR),2013.0,16500.0,0.0
opel corsa (FR),2013.0,17000.0,0.0
opel corsa (FR),2013.0,17500.0,0.0
opel corsa (FR),2013.0,18000.0,0.0
opel corsa (FR),2013.0,18500.0,0.0
opel corsa (FR),2013.0,19000.0,0.0
opel corsa (FR),2013.0,19500.0,0.0
opel corsa (FR),2014.0,1000.0,0.0
opel corsa (FR),2014.0,1500.0,0.0
opel corsa (FR),2014.0,2000.0,0.0
opel corsa (FR),2014.0,2500.0,0.0
opel corsa (FR),2014.0,3000.0,0.0
opel corsa (FR),2014.0,3500.0,0.0
opel corsa (FR),2014.0,4000.0,0.0
opel corsa (FR),2014.0,4500.0,0.0
opel corsa (FR),2014.0,5000.0,0.0
opel corsa (FR),2014.0,5500.0,0.0
opel corsa (FR),2014.0,6000.0,0.0
opel corsa (FR),2014.0,6500.0,5.0
opel corsa (FR),2014.0,7000.0,6.0
opel corsa (FR),2014.0,7500.0,24.0
opel corsa (FR),2014.0,8000.0,12.0
opel corsa (FR),2014.0,8500.0,19.0
opel corsa (FR),2014.0,9000.0,1.0
opel corsa (FR),2014.0,9500.0,1.0
opel corsa (FR),2014.0,10000.0,0.0
opel corsa (FR),2014.0,10500.0,2.0
opel corsa (FR),2014.0,11000.0,1.0
opel corsa (FR),2014.0,11500.0,0.0
opel corsa (FR),2014.0,12000.0,0.0
opel corsa (FR),2014.0,12500.0,0.0
opel corsa (FR),2014.0,13000.0,0.0
opel corsa (FR),2014.0,13500.0,0.0
opel corsa (FR),2014.0,14000.0,0.0
opel corsa (FR),2014.0,14500.0,1.0
opel corsa (FR),2014.0,15000.0,0.0
opel corsa (FR),2014.0,15500.0,0.0
opel corsa (FR),2014.0,16000.0,0.0
opel corsa (FR),2014.0,16500.0,0.0
opel corsa (FR),2014.0,17000.0,0.0
opel corsa (FR),2014.0,17500.0,0.0
opel corsa (FR),2014.0,18000.0,0.0
opel corsa (FR),2014.0,18500.0,0.0
opel corsa (FR),2014.0,19000.0,0.0
opel corsa (FR),2014.0,19500.0,0.0
opel corsa (FR),2015.0,1000.0,0.0
opel corsa (FR),2015.0,1500.0,0.0
opel corsa (FR),2015.0,2000.0,0.0
opel corsa (FR),2015.0,2500.0,0.0
opel corsa (FR),2015.0,3000.0,0.0
opel corsa (FR),2015.0,3500.0,0.0
opel corsa (FR),2015.0,4000.0,0.0
opel corsa (FR),2015.0,4500.0,0.0
opel corsa (FR),2015.0,5000.0,0.0
opel corsa (FR),2015.0,5500.0,0.0
opel corsa (FR),2015.0,6000.0,0.0
opel corsa (FR),2015.0,6500.0,1.0
opel corsa (FR),2015.0,7000.0,2.0
opel corsa (FR),2015.0,7500.0,2.0
opel corsa (FR),2015.0,8000.0,5.0
opel corsa (FR),2015.0,8500.0,24.0
opel corsa (FR),2015.0,9000.0,11.0
opel corsa (FR),2015.0,9500.0,32.0
opel corsa (FR),2015.0,10000.0,21.0
opel corsa (FR),2015.0,10500.0,15.0
opel corsa (FR),2015.0,11000.0,2.0
opel corsa (FR),2015.0,11500.0,8.0
opel corsa (FR),2015.0,12000.0,1.0
opel corsa (FR),2015.0,12500.0,2.0
opel corsa (FR),2015.0,13000.0,0.0
opel corsa (FR),2015.0,13500.0,0.0
opel corsa (FR),2015.0,14000.0,0.0
opel corsa (FR),2015.0,14500.0,0.0
opel corsa (FR),2015.0,15000.0,0.0
opel corsa (FR),2015.0,15500.0,1.0
opel corsa (FR),2015.0,16000.0,0.0
opel corsa (FR),2015.0,16500.0,0.0
opel corsa (FR),2015.0,17000.0,0.0
opel corsa (FR),2015.0,17500.0,0.0
opel corsa (FR),2015.0,18000.0,0.0
opel corsa (FR),2015.0,18500.0,0.0
opel corsa (FR),2015.0,19000.0,0.0
opel corsa (FR),2015.0,19500.0,0.0
opel corsa (FR),2016.0,1000.0,0.0
opel corsa (FR),2016.0,1500.0,0.0
opel corsa (FR),2016.0,2000.0,0.0
opel corsa (FR),2016.0,2500.0,0.0
opel corsa (FR),2016.0,3000.0,0.0
opel corsa (FR),2016.0,3500.0,0.0
opel corsa (FR),2016.0,4000.0,0.0
opel corsa (FR),2016.0,4500.0,0.0
opel corsa (FR),2016.0,5000.0,0.0
opel corsa (FR),2016.0,5500.0,0.0
opel corsa (FR),2016.0,6000.0,0.0
opel corsa (FR),2016.0,6500.0,0.0
opel corsa (FR),2016.0,7000.0,0.0
opel corsa (FR),2016.0,7500.0,0.0
opel corsa (FR),2016.0,8000.0,0.0
opel corsa (FR),2016.0,8500.0,7.0
opel corsa (FR),2016.0,9000.0,5.0
opel corsa (FR),2016.0,9500.0,39.0
opel corsa (FR),2016.0,10000.0,29.0
opel corsa (FR),2016.0,10500.0,54.0
opel corsa (FR),2016.0,11000.0,21.0
opel corsa (FR),2016.0,11500.0,23.0
opel corsa (FR),2016.0,12000.0,13.0
opel corsa (FR),2016.0,12500.0,10.0
opel corsa (FR),2016.0,13000.0,1.0
opel corsa (FR),2016.0,13500.0,2.0
opel corsa (FR),2016.0,14000.0,0.0
opel corsa (FR),2016.0,14500.0,0.0
opel corsa (FR),2016.0,15000.0,0.0
opel corsa (FR),2016.0,15500.0,0.0
opel corsa (FR),2016.0,16000.0,0.0
opel corsa (FR),2016.0,16500.0,0.0
opel corsa (FR),2016.0,17000.0,0.0
opel corsa (FR),2016.0,17500.0,0.0
opel corsa (FR),2016.0,18000.0,0.0
opel corsa (FR),2016.0,18500.0,0.0
opel corsa (FR),2016.0,19000.0,0.0
opel corsa (FR),2016.0,19500.0,0.0
opel corsa (FR),2017.0,1000.0,0.0
opel corsa (FR),2017.0,1500.0,0.0
opel corsa (FR),2017.0,2000.0,0.0
opel corsa (FR),2017.0,2500.0,0.0
opel corsa (FR),2017.0,3000.0,0.0
opel corsa (FR),2017.0,3500.0,0.0
opel corsa (FR),2017.0,4000.0,0.0
opel corsa (FR),2017.0,4500.0,0.0
opel corsa (FR),2017.0,5000.0,0.0
opel corsa (FR),2017.0,5500.0,0.0
opel corsa (FR),2017.0,6000.0,0.0
opel corsa (FR),2017.0,6500.0,0.0
opel corsa (FR),2017.0,7000.0,0.0
opel corsa (FR),2017.0,7500.0,0.0
opel corsa (FR),2017.0,8000.0,0.0
opel corsa (FR),2017.0,8500.0,1.0
opel corsa (FR),2017.0,9000.0,6.0
opel corsa (FR),2017.0,9500.0,28.0
opel corsa (FR),2017.0,10000.0,83.0
opel corsa (FR),2017.0,10500.0,94.0
opel corsa (FR),2017.0,11000.0,23.0
opel corsa (FR),2017.0,11500.0,30.0
opel corsa (FR),2017.0,12000.0,6.0
opel corsa (FR),2017.0,12500.0,13.0
opel corsa (FR),2017.0,13000.0,5.0
opel corsa (FR),2017.0,13500.0,10.0
opel corsa (FR),2017.0,14000.0,4.0
opel corsa (FR),2017.0,14500.0,2.0
opel corsa (FR),2017.0,15000.0,5.0
opel corsa (FR),2017.0,15500.0,7.0
opel corsa (FR),2017.0,16000.0,1.0
opel corsa (FR),2017.0,16500.0,1.0
opel corsa (FR),2017.0,17000.0,0.0
opel corsa (FR),2017.0,17500.0,0.0
opel corsa (FR),2017.0,18000.0,0.0
opel corsa (FR),2017.0,18500.0,0.0
opel corsa (FR),2017.0,19000.0,0.0
